title,rating,ratingLevel,ratingDescription
Lovesick,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Flaked,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Master of None,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Chelsea,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Abstract: The Art of Design,TV-14,,90
Cooper Barrett's Guide to Surviving Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
The Great British Baking Show,TV-PG,Parental guidance suggested. May not be suitable for all children.,70
Life in Pieces,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Crazy Ex-Girlfriend,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Easy,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Santa Clarita Diet,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
No Tomorrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Minimalism: A Documentary About the Important Things,TV-PG,,70
Girlboss,TV-MA,,110
Hot Girls Wanted: Turned On,TV-MA,,110
The Discovery,TV-MA,,110
13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Sandy Wexler,TV-14,,90
Chewing Gum,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Win It All,TV-MA,,110
MerlÌ_,TV-PG,Parental guidance suggested. May not be suitable for all children.,70
Amy Schumer: The Leather Special,TV-MA,,110
Louis C.K. 2017,TV-MA,,110
Dave Chappelle,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Almost Adults,NR,This movie has not been rated.,124
The Brothers,R,strong sexual content and language,100
Skins,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
The Cleveland Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Absolutely Fabulous,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Don't Trust the B---- in Apartment 23,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Raising Hope,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Come Fly With Me,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Orange Is the New Black,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Brickleberry,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Bates Motel,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
BoJack Horseman,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Being Mary Jane: The Series,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Documentary Now!,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Unbreakable Kimmy Schmidt,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
The Get Down,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Love,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Bordertown,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Jane The Virgin,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Schitt's Creek,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Dope,R,"language, drug content, sexuality/nudity, and some violence-all involving teens",100
Lovesick,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
The Carmichael Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Cooper Barrett's Guide to Surviving Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
The Great British Baking Show,TV-PG,Parental guidance suggested. May not be suitable for all children.,70
November Rule,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
